Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Age Group,Has Dependents,Total Charges Per Month
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,No Offer,No,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,-0.5895299583779935,0.07950185754714607,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,2460.55,Stayed,45-54,0,2505.75
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,No Offer,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,1.704993016376207,2.7254050698591925,-0.24829533787400415,-0.2732809709900021,0.4767211303215388,9609.47,Stayed,25-34,1,9726.269999999999
0018-NYROU,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,No Offer,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.17157228534284827,-0.8511445801845378,-0.24829533787400415,-0.2732809709900021,-0.7746311615400183,444.75,Stayed,55-64,0,513.7
0019-EFAEP,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,1.2082736573162893,2.197874752271545,-0.24829533787400415,-0.2732809709900021,-0.6934297400127623,7423.25,Stayed,25-34,0,7524.55
0019-GFNTW,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,No Offer,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,-0.5943369199172831,0.12342962259595423,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,2560.1,Stayed,35-44,0,2605.15
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,1.0304160803625768,2.0161404475467664,-0.24829533787400415,-0.2732809709900021,1.4012244130305493,8784.86,Stayed,55-64,1,8880.61
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,No Offer,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,-0.07518507367401418,-0.1267225622977616,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,1993.2,Stayed,45-54,1,2054.45
0021-IKXGC,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,0.272518477667928,-0.9744335561226295,-0.24829533787400415,-0.2732809709900021,-0.8755925798985617,79.87,Joined,65+,0,151.97
0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,No Offer,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,-0.028717778794215342,0.22553795843015054,-0.24829533787400415,-0.2732809709900021,-0.31765908897426715,3271.65,Churned,65+,0,3334.35
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,No Offer,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-1.23366280464279,-0.9951729328910273,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,25.1,Churned,65+,0,50.2
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,-1.2304581636165972,-0.4298263474512163,-0.24829533787400415,-0.2732809709900021,0.9713470402442198,2877.8,Stayed,65+,0,2903.0
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,No Offer,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.977539503430392,-0.46984893198086886,-0.24829533787400415,-0.2732809709900021,-0.2159299480849207,1781.88,Churned,25-34,0,1875.9799999999998
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6458591572194148,-0.18993353510782474,-0.24829533787400415,-0.2732809709900021,0.06358010870671801,2652.88,Stayed,25-34,1,2736.63
0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,-1.4019064585179235,-0.9810083798215471,-0.24829533787400415,-0.2732809709900021,-0.8737146124770586,66.56,Joined,18-24,0,86.41000000000001
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,-1.3858832533869583,-0.9725581869467638,-0.24829533787400415,-0.2732809709900021,-0.8260449488721123,126.07,Churned,25-34,0,146.42
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,No Offer,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,-1.060612189228367,-0.9927901108793389,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,30.5,Churned,35-44,1,61.0
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,No Offer,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,1.285185041944922,1.489867730465288,-0.24829533787400415,0.5233737801203393,1.3914684313314198,7603.95,Stayed,35-44,1,7707.65
0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,-1.384280932873862,-0.5250068489180968,-0.24829533787400415,-0.2732809709900021,0.3716966881076679,2154.4,Stayed,35-44,1,2174.8
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Bank Withdrawal,-1.4099180610834061,-0.7980385377573748,2.44068820177718,-0.2732809709900021,0.2729557595305246,1430.8,Stayed,55-64,0,1450.4
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,-1.4067134200572131,-0.3898478892551135,-0.24829533787400415,-0.2732809709900021,2.243888473955944,4045.81,Stayed,45-54,1,4065.51
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,0.8846049136707947,0.42677610258393284,-0.24829533787400415,-0.2732809709900021,0.994815727455079,4838.92,Stayed,18-24,1,4930.12
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,-1.3826786123607655,-0.6087145036620337,-0.24829533787400415,-0.2732809709900021,1.9846462919775085,3330.32,Stayed,45-54,0,3350.77
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,No Offer,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.1021205227410977,2.498330957412013,-0.24829533787400415,-0.2732809709900021,2.5272489545174572,10830.97,Stayed,25-34,0,10828.97
0052-YNYOT,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,-1.3794739713345723,-0.413455477704247,3.6149831310930858,-0.2732809709900021,0.9448192740260063,2861.91,Stayed,25-34,0,2882.46
0056-EPFBG,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,No Offer,No,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,-0.7753991378971886,-0.6420298854921194,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,825.4,Stayed,25-34,1,864.8
0057-QBUQH,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Bank Withdrawal,-1.23366280464279,-0.5340306841290271,-0.24829533787400415,-0.2732809709900021,0.6713683196697833,2387.67,Stayed,25-34,1,2412.77
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.8397399393040923,1.182240996122981,-0.24829533787400415,-0.2732809709900021,-0.554767239833855,5239.0,Stayed,35-44,0,5328.8
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9983696701006467,1.4637890673373666,-0.24829533787400415,-0.2732809709900021,0.25737689771314987,6564.66,Stayed,55-64,0,6659.41
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,-1.387485573900055,-0.9071850237927612,-0.24829533787400415,-0.2732809709900021,-0.611507840418137,455.86,Stayed,45-54,1,476.16
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.38948787512397337,-0.15505166843672186,-0.24829533787400415,-0.2732809709900021,-0.07922809313852615,2611.02,Stayed,55-64,1,2686.77
0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,No Offer,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-0.4597419968171763,-0.966049552748171,-0.24829533787400415,-0.2732809709900021,-0.7808556195974531,179.08,Churned,65+,0,228.32999999999998
0068-FIGTF,Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,0.4680015802657024,-0.08888423127882336,-0.24829533787400415,-0.2732809709900021,0.6749707100066288,3399.52,Stayed,18-24,0,3477.7199999999993
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,-1.220844240538018,-0.7279879832470953,5.3726293130109655,-0.2732809709900021,-0.18525648020037022,1178.43,Stayed,25-34,1,1203.93
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,No Offer,Yes,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,-0.06396883008233858,-0.2953734091250296,5.433368705906616,-0.2732809709900021,-0.6943155737021505,1727.35,Stayed,45-54,0,1788.9499999999998
0076-LVEPS,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,No Offer,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,-0.5959392404303796,-0.45800101142275224,1.3030899890023968,-0.2732809709900021,-0.884769816920624,1230.19,Stayed,55-64,1,1275.19
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,No Offer,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.6907241315861172,1.7808588370593275,-0.24829533787400415,-0.2732809709900021,1.867125689185334,8646.12,Stayed,18-24,0,8731.27
0080-EMYVY,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,No Offer,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,-0.3892398942409298,-0.6850751238699321,-0.24829533787400415,-0.2732809709900021,-0.48725490158661194,1064.41,Stayed,55-64,0,1115.8600000000001
0080-OROZO,Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1.1425785162793325,0.5522934583662885,-0.24829533787400415,-0.2732809709900021,0.6207931215636435,4806.7,Stayed,35-44,0,4905.95
0082-LDZUE,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,-0.6183717276137308,-0.9867006768494689,-0.24829533787400415,-0.2732809709900021,-0.8340410743083235,87.25,Joined,45-54,0,131.55
0082-OQIQY,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,No Offer,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,0.9807441444565852,0.14438963103210084,-0.24829533787400415,0.5233737801203393,-0.814552733141782,2687.05,Stayed,45-54,0,2781.2499999999995
0083-PIVIK,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,No Offer,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,0.5657431315645893,1.4505070409388823,-0.24829533787400415,1.3200285312306808,-0.4697744501160172,5958.91,Stayed,25-34,0,6040.16
0089-IIQKO,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,No Offer,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1.1650110034626837,0.6561668475424761,-0.24829533787400415,-0.2732809709900021,0.23825470113822225,4718.22,Stayed,35-44,1,4818.17
0093-EXYQL,Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,No Offer,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,0.89582115726247,0.6147763466727802,-0.24829533787400415,-0.2732809709900021,1.2006007990578984,5439.2,Stayed,65+,0,5530.75
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,No Offer,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1.310822170154466,0.7750652532923644,-0.24829533787400415,-0.2732809709900021,0.8958740099083409,5544.45,Churned,45-54,0,5648.950000000001
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1.0063812726661292,-0.5119013278538114,-0.24829533787400415,4.506647535672046,-0.7341899008404802,1367.79,Churned,65+,1,1462.79
0096-BXERS,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,-0.4244909455290531,-0.8674492604311823,-0.24829533787400415,-0.2732809709900021,-0.5824524954062024,570.51,Stayed,25-34,0,620.86
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,No Offer,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,0.028965759677258885,-0.17294489669115856,-0.24829533787400415,-0.2732809709900021,-0.7912257793212248,1967.65,Stayed,55-64,0,2032.15
0098-BOWSO,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,No Offer,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,-1.4163273431357921,-0.7724673274652759,-0.24829533787400415,-0.2732809709900021,-0.22592215210122005,1087.62,Stayed,25-34,0,1107.02
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,No Offer,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,1.320436093233045,2.2189230133747913,0.5248665175268776,-0.2732809709900021,2.3801769398472907,10067.14,Stayed,65+,0,10171.94
0103-CSITQ,Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1.467849580437924,1.7528386152552156,-0.24829533787400415,-0.2732809709900021,-0.3455097001686337,6709.27,Stayed,18-24,0,6818.669999999999
0104-PPXDV,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,No Offer,Yes,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,-0.4260932660421497,0.2639499317852361,1.0462129732145424,-0.2732809709900021,0.3736573333401807,3933.78,Stayed,55-64,0,3984.0800000000004
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,No Offer,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.2500859904845773,-0.47139335365511126,-0.24829533787400415,-0.2732809709900021,-0.3989077549649573,1623.46,Stayed,18-24,0,1694.8600000000001
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,1.679355888166663,2.604543042266339,-0.24829533787400415,-0.2732809709900021,2.2544830448810274,10840.73,Stayed,55-64,0,10956.73
0107-WESLM,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,-1.4019064585179235,-0.9974895654023908,-0.24829533787400415,-0.2732809709900021,-0.8472459018381377,51.62,Churned,25-34,0,71.47
0107-YHINA,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,No Offer,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1.1586017214102977,-0.9622326248961147,-0.24829533787400415,-0.2732809709900021,-0.8366867642606297,140.46,Churned,55-64,0,240.21
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Offer C,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,0.9727325418911027,0.25640432874822316,-0.24829533787400415,-0.2732809709900021,0.31939706708618576,3880.97,Stayed,65+,1,3974.9199999999996
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.8717863495660224,-0.3698586601570621,-0.24829533787400415,-0.2732809709900021,0.03574130862821007,2221.56,Stayed,45-54,1,2312.36
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.6650870033765727,0.7849936783410655,-0.24829533787400415,-0.2732809709900021,1.404165380879318,5997.3,Churned,55-64,0,6081.65
0114-IGABW,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,-0.17132430445980473,0.8231850200284019,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,4145.9,Stayed,35-44,0,4204.15
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,No Offer,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,1.4085637214533528,0.6023768469452915,-0.24829533787400415,-0.2732809709900021,1.0519815282102674,5285.27,Stayed,35-44,0,5392.82
0114-RSRRW,Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10,Offer D,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,-1.3987018174917307,-0.9234014513723062,-0.24829533787400415,-0.2732809709900021,-0.29893847033852883,683.75,Stayed,18-24,0,703.7
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,No Offer,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1.5255331189093981,0.016202632069983236,-0.24829533787400415,4.506647535672046,0.014599411241477223,3198.56,Churned,18-24,0,3309.7599999999998
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,No Offer,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,-0.7497620096876443,-0.3669463221427765,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,1448.8,Churned,45-54,1,1489.0
0118-JPNOY,Female,71,No,0,Le Grand,95333,37.249377,-120.249581,0,26,No Offer,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.7115542982563715,-0.03827132669722294,-0.24829533787400415,-0.2732809709900021,0.15134851065130578,3070.89,Stayed,65+,0,3156.6900000000005
0121-SNYRK,Male,45,No,0,Redway,95560,40.142256,-123.852927,0,50,Offer B,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,-0.9035847789449093,-0.23452319515987974,-0.24829533787400415,-0.2732809709900021,-0.884769816920624,1748.9,Stayed,45-54,0,1784.3000000000002
0122-OAHPZ,Female,29,No,0,San Diego,92122,32.85723,-117.209774,0,7,No Offer,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.32859969562630587,-0.7806527623387605,1.4005260984391692,-0.2732809709900021,-0.6481459218112349,698.56,Churned,25-34,0,772.4100000000001
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,34.049172,-118.115022,1,61,Offer B,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,0.7852610418588108,1.432503496850571,-0.24829533787400415,-0.2732809709900021,2.5151661829942014,8405.34,Stayed,55-64,0,8493.44
